"today","region","sex","age","married","christ","children","education","gaccra","pay_bribe","surveyChoice","rand_number","rand_number6","rand_number2_2","rand_number2_3","rand_number2_4","rand_number2_5","rand_number2_6","gender","corrupt","financial_pressure","john","ethnic_1","ethnic_2","ethnic_3","ethnic_4","ethnic_5","ethnic_6","ethnic_7","ethnic_8","ethnic_9","ethnic_10","ethnic_11","ethnic_12","ethnic_13","ethnic_14","ethnic_15","ethnic_16","ethnic_17","ethnic_18","ethnic_19","ethnic_20","ethnic_21"
"18-Sep-17",1,1,57,0,1,4,5,1,NA,4,NA,0.05929788,NA,NA,0.937526681,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,77,1,1,8,3,0,NA,4,NA,0.578541927,NA,NA,0.168943457,NA,NA,1,7,400,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,29,1,1,2,4,0,1,1,0.07557047,0.742928997,NA,NA,NA,NA,NA,1,7,200,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,44,1,1,7,4,0,NA,3,NA,0.809683126,NA,0.316832264,NA,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,30,1,1,4,4,0,NA,6,NA,0.970458564,NA,NA,NA,NA,0.235045638,6,2,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,31,1,0,2,4,0,1,5,NA,0.875594161,NA,NA,NA,0.526456435,NA,1,7,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,55,1,1,5,2,0,NA,6,NA,0.724108008,NA,NA,NA,NA,0.533509308,1,7,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,28,1,1,3,5,0,1,6,NA,0.518878324,NA,NA,NA,NA,0.78625067,2,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,42,1,0,3,6,0,NA,4,NA,0.71265814,NA,NA,0.061087494,NA,NA,1,7,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,20,1,1,1,6,0,NA,2,NA,0.521035927,0.573554189,NA,NA,NA,NA,1,7,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,42,1,1,2,3,0,NA,3,NA,0.52651131,NA,0.029398763,NA,NA,NA,1,7,200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,26,1,1,2,6,0,1,1,0.672968186,0.053290952,NA,NA,NA,NA,NA,1,7,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,20,0,1,0,5,0,1,5,NA,0.511398314,NA,NA,NA,0.595160347,NA,1,7,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,56,1,1,5,6,0,1,1,0.418922195,0.943938575,NA,NA,NA,NA,NA,1,7,500,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,24,0,1,0,6,0,NA,6,NA,0.588137437,NA,NA,NA,NA,0.832841839,1,7,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,25,0,1,2,6,0,1,4,NA,0.589849674,NA,NA,0.029445468,NA,NA,1,7,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"18-Sep-17",2,1,41,1,1,4,9,0,NA,3,NA,0.894890417,NA,0.619299388,NA,NA,NA,1,7,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,35,0,1,0,9,0,NA,2,NA,0.400300471,0.752031481,NA,NA,NA,NA,5,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"18-Sep-17",2,0,26,0,1,0,7,0,NA,1,0.548164457,0.457035366,NA,NA,NA,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,24,0,1,0,7,0,NA,1,0.438509558,0.416769653,NA,NA,NA,NA,NA,1,7,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,33,0,1,1,7,0,NA,6,NA,0.657295172,NA,NA,NA,NA,0.521096872,1,7,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,0,27,0,1,0,7,0,NA,4,NA,0.524207285,NA,NA,0.88776458,NA,NA,1,7,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",2,1,51,1,1,6,6,0,1,6,NA,0.370892977,NA,NA,NA,NA,0.584291362,5,3,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
